country;lat;lon;date;#affected+infected+value+num;#country+code;#region+main+code;#region+sub+code;#region+intermediate+code;
Albania;411.533;201.683;03/05/2020;531;ALB;150;39;;
Albania;411.533;201.683;02/05/2020;519;ALB;150;39;;
Albania;411.533;201.683;01/05/2020;488;ALB;150;39;;
Albania;411.533;201.683;30/04/2020;470;ALB;150;39;;
Albania;411.533;201.683;29/04/2020;455;ALB;150;39;;
Albania;411.533;201.683;28/04/2020;431;ALB;150;39;;
Albania;411.533;201.683;27/04/2020;422;ALB;150;39;;
Albania;411.533;201.683;26/04/2020;410;ALB;150;39;;
Albania;411.533;201.683;25/04/2020;403;ALB;150;39;;
Albania;411.533;201.683;24/04/2020;394;ALB;150;39;;
Albania;411.533;201.683;23/04/2020;385;ALB;150;39;;
Albania;411.533;201.683;22/04/2020;356;ALB;150;39;;
Albania;411.533;201.683;21/04/2020;345;ALB;150;39;;
Albania;411.533;201.683;20/04/2020;327;ALB;150;39;;
Albania;411.533;201.683;19/04/2020;314;ALB;150;39;;
Albania;411.533;201.683;18/04/2020;302;ALB;150;39;;
Albania;411.533;201.683;17/04/2020;283;ALB;150;39;;
Albania;411.533;201.683;16/04/2020;277;ALB;150;39;;
Albania;411.533;201.683;15/04/2020;251;ALB;150;39;;
Albania;411.533;201.683;14/04/2020;248;ALB;150;39;;
Albania;411.533;201.683;13/04/2020;232;ALB;150;39;;
Albania;411.533;201.683;12/04/2020;217;ALB;150;39;;
Albania;411.533;201.683;11/04/2020;197;ALB;150;39;;
Albania;411.533;201.683;10/04/2020;182;ALB;150;39;;
Albania;411.533;201.683;09/04/2020;165;ALB;150;39;;
Albania;411.533;201.683;08/04/2020;154;ALB;150;39;;
Albania;411.533;201.683;07/04/2020;131;ALB;150;39;;
Albania;411.533;201.683;06/04/2020;116;ALB;150;39;;
Albania;411.533;201.683;05/04/2020;104;ALB;150;39;;
Albania;411.533;201.683;04/04/2020;99;ALB;150;39;;
Albania;411.533;201.683;03/04/2020;89;ALB;150;39;;
Albania;411.533;201.683;02/04/2020;76;ALB;150;39;;
Albania;411.533;201.683;01/04/2020;67;ALB;150;39;;
Albania;411.533;201.683;31/03/2020;52;ALB;150;39;;
Albania;411.533;201.683;30/03/2020;44;ALB;150;39;;
Albania;411.533;201.683;29/03/2020;33;ALB;150;39;;
Albania;411.533;201.683;28/03/2020;31;ALB;150;39;;
Albania;411.533;201.683;27/03/2020;31;ALB;150;39;;
Albania;411.533;201.683;26/03/2020;17;ALB;150;39;;
Albania;411.533;201.683;25/03/2020;17;ALB;150;39;;
Albania;411.533;201.683;24/03/2020;10;ALB;150;39;;
Albania;411.533;201.683;23/03/2020;2;ALB;150;39;;
Albania;411.533;201.683;22/03/2020;2;ALB;150;39;;
Albania;411.533;201.683;21/03/2020;2;ALB;150;39;;
Albania;411.533;201.683;20/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;19/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;18/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;17/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;16/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;15/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;14/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;13/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;12/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;11/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;10/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;09/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;08/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;07/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;06/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;05/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;04/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;03/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;02/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;01/03/2020;0;ALB;150;39;;
Albania;411.533;201.683;29/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;28/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;27/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;26/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;25/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;24/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;23/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;22/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;21/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;20/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;19/02/2020;0;ALB;150;39;;
Albania;411.533;201.683;18/02/2020;0;ALB;150;39;;
